sku,name,reviewStars,reviewCount,status,price,discount,url
PLAM090,C2A Samuel 26 in. Splat Back Counter Stool - Set of 2,,,IN_STOCK,326.99,0,https://www.hayneedle.com/product/c2asamuel26insplatbackcounterstoolsetof2.cfm
LUS898,LumiSource Vintage Mod Mid-Century Modern Adjustable Bar Stool,4.9,8,IN_STOCK,162.92,1,https://www.hayneedle.com/product/lumisourcevintagemodmidcenturymodernadjustablebarstool.cfm
CHIT252,Chic Teak Suar Costa Mesa Bar Stool,4,2,IN_STOCK,497,0,https://www.hayneedle.com/product/chicteaksuarcostamesabarstool.cfm
LUS958,LumiSource Dakota Industrial Adjustable Wood Bar Stool - Set of 2,5,1,IN_STOCK,180,9,https://www.hayneedle.com/product/lumisourcedakotaindustrialadjustablewoodbarstoolsetof2.cfm
ASR7707,Trademark Global Pontiac GTO - Time &amp; Distance - Swivel Bar Stool with Back,5,1,IN_STOCK,119.99,0,https://www.hayneedle.com/product/trademarkglobalpontiacgtotimedistanceswivelbarstoolwithback.cfm
HL2551,Hillsdale Canton 24.5 inch Swivel Counter Stool,4.4,16,IN_STOCK,137.99,9,https://www.hayneedle.com/product/hillsdale245inchcantonswivelcounterstool.cfm
ASR6706,Trademark Bud Light Lime Padded Bar Stool with Back,5,1,IN_STOCK,168.99,0,https://www.hayneedle.com/product/trademarkbudlightlimepaddedbarstoolwithback.cfm
SKY1406,Skyline Nail Button Arched Bar Stool,5,1,IN_STOCK,231,0,https://www.hayneedle.com/product/skyline-nail-button-arched-bar-stool.cfm
HME1996,Chelsea Lane Archstone Counter Stool Keyhole - White - Set of 2,4.4,7,IN_STOCK,251.99,0,https://www.hayneedle.com/product/archstonecounterstoolkeyholewhitesetof2.cfm
ASR6717,Trademark Global US Marines 41.75 in. Padded Swivel Bar Stool with Back,4.8,4,IN_STOCK,168.99,0,https://www.hayneedle.com/product/trademarkmarinespaddedswivelbarstoolwithback.cfm
HBS933,Holland Bar Stool Co XL 820 Catalina 25 in. Fabric Swivel Counter Stool,5,1,IN_STOCK,229,0,https://www.hayneedle.com/product/hollandbarstoolcoxl820catalina25infabricswivelcounterstools.cfm
PLAM093,C2A Julie 26 in. Counter Stool - Set of 2,,,IN_STOCK,221.7,0,https://www.hayneedle.com/product/c2ajulie26incounterstoolsetof2.cfm
FLSH1448,Flash Furniture 30 in. Metal and Vinyl Crown Back Swivel Bar Stool,3.6,61,IN_STOCK,50.49,0,https://www.hayneedle.com/product/flashfurniture30inmetalandvinylcrownbackswivelbarstool.cfm
LUS1304,LumiSource Cecina 24 in. Upholstered Counter Stool - Set of 2,5,1,IN_STOCK,283,19,https://www.hayneedle.com/product/lumisourcececina24inupholsteredcounterstoolsetof2.cfm
ELET980,Picket House Furnishings Richmond 29 in. Upholstered Barstool - Set of 2,5,1,IN_STOCK,143.12,3,https://www.hayneedle.com/product/pickethousefurnishingsrichmond29inupholsteredbarstoolsetof2.cfm
VOGU100,Brage Living Tufted Faux Leather Adjustable Bar Stool with Footrest and Swivel - Set of 2,4.5,2,IN_STOCK,184.35,0,https://www.hayneedle.com/product/bragelivingtuftedfauxleatheradjustablebarstoolwithfootrestandswivelsetof2.cfm
ASR137,NHL 30 in. Padded Backless Swivel Bar Stool,4.2,66,IN_STOCK,82.4,0,https://www.hayneedle.com/product/nhlpaddedbacklessbarstool.cfm
BSHD2070,Bar Stool with Cushion - Set of 2,3,1,IN_STOCK,318,0,https://www.hayneedle.com/product/best-selling-home-bar-stool-with-cushion-set-of-2.cfm
AMS705,Amisco Americo 26 in. Swivel Counter Height Stool,5,1,IN_STOCK,449.99,0,https://www.hayneedle.com/product/amiscoamerico26inswivelcounterheightstool.cfm
LUS981,LumiSource Roman 25.75 in. Industrial Counter Stools - Set of 2,,,IN_STOCK,137.69,10,https://www.hayneedle.com/product/lumisourceroman2575inindustrialcounterstoolssetof2.cfm
AA1251,Armen Living Jayden 26 in. Mid-Century Swivel Counter Stool,5,1,IN_STOCK,125.99,9,https://www.hayneedle.com/product/armenlivingjaydenmidcenturyswivelcounterheightbarstool.cfm
HMS969,Home Styles Monarch Counter Height Stool,4.1,19,IN_STOCK,191,0,https://www.hayneedle.com/product/homestylesmonarchstool.cfm
WWI225,International Concepts X-Back Bar Height Stool,5,2,IN_STOCK,155.48,0,https://www.hayneedle.com/product/international-concepts-x-back-bar-height-stool.cfm
EEI1851,Modway Promenade Side Bar Stool,,,IN_STOCK,109,0,https://www.hayneedle.com/product/modwaypromenadesidebarstool.cfm
HOMM1831,HomeFare Quilted 30.75 in. Bar Stool,,,IN_STOCK,381.43,0,https://www.hayneedle.com/product/homefarequilted3075inbarstool.cfm
HME3751,Weston Home Aleksi 29 in. Swivel Bar Stool - Set of 2,,,IN_STOCK,155.57,0,https://www.hayneedle.com/product/westonhomealeksi29inswivelbarstoolsetof2.cfm
AA1058,Armen Living Studio 30 in. Swivel Bar Stool,,,IN_STOCK,95.8,0,https://www.hayneedle.com/product/armen-living-studio-30-in-swivel-bar-stool.cfm
ACPA108,Christies Home Living Josie Adjustable Swivel Bar Stool,1,1,IN_STOCK,93.02,1,https://www.hayneedle.com/product/christies-home-livin-josie-adjustable-swivel-woodchrome-barstool.cfm
FLSH657,Flash Furniture 31 in. Hercules Window Back Vinyl Seat Restaurant Bar Stool - Black,4,38,IN_STOCK,97.72,40,https://www.hayneedle.com/product/flash-furniture-31-in-hercules-window-back-vinyl-seat-restaurant-bar-stool-black.cfm
AA1627,Armen Living Giselle 30 in. Swivel Bar Stool,,,IN_STOCK,171.25,0,https://www.hayneedle.com/product/armenlivingaltenburg30inswivelbarstool.cfm
EASE067,East West Furniture Quincy X-Back Counter Height Dining Chair with Wooden Seat - Set of 2,5,1,IN_STOCK,178.25,18,https://www.hayneedle.com/product/east-west-furniture-quincy-x-back-counter-height-dining-chair-with-wooden-seat-nss.cfm
ELET978,Picket House Furnishings Baltimore Adjustable Swivel Barstool - Set of 2,5,1,IN_STOCK,148.71,5,https://www.hayneedle.com/product/pickethousefurnishingsbaltimoreadjustableswivelbarstoolsetof2.cfm
HME2926,Weston Home Edmond Collection 29H in. Swivel Bar Height Stool - Ladder Back Design,,,IN_STOCK,140.99,0,https://www.hayneedle.com/product/edmond-collection-29h-in-swivel-bar-height-stool-ladder-back-design.cfm
CCH197,Carolina Cody Adjustable Farmhouse Tractor Seat Bar Stool,5,2,IN_STOCK,134.99,0,https://www.hayneedle.com/product/cody-adjustable-farmhouse-tractor-seat-bar-stool-white.cfm
EEI1853,Modway Promenade Metal Bar Side Stool,,,IN_STOCK,100.25,0,https://www.hayneedle.com/product/modwaypromenademetalbarsidestool.cfm
LUS953,LumiSource Canary 26 in. Counter Stool - Set of 2,,,IN_STOCK,338,1,https://www.hayneedle.com/product/lumisourcecanary26incounterstool.cfm
