sku,name,ratingValue,reviewCount,price,url
1004204,Dotty Organic White Bath Towels,,,4.95-34.95,https://www.crateandbarrel.com/dotty-organic-white-bath-towels/f1004204
69246,Classic Heavyweight Down Duvet Insert,4.9,31,289.95-329.95,https://www.crateandbarrel.com/classic-heavyweight-down-duvet-insert/f69246
363989,Clip-on Ring Light,2,2,25.00,https://www.crateandbarrel.com/clip-on-ring-light/s363989
74436,Organic Cotton White Sheet Sets,4.3,270,39.95-169.95,https://www.crateandbarrel.com/washed-organic-cotton-white-sheet-sets/f74436
1005554,Organic Double Weave Sheet Sets,5,1,29.95-199.95,https://www.crateandbarrel.com/organic-double-weave-sheet-sets/f1005554
198633,Antiqued Brass Fireplace Screen,4.7,134,249.00,https://www.crateandbarrel.com/antiqued-brass-fireplace-screen/s198633
364101,Scrabble ® Deluxe Edition,5,1,149.00,https://www.crateandbarrel.com/scrabble-deluxe-edition/s364101
1004012,Shinola Parker Tweed Flat Weave Rug,,,499.00-1299.00,https://www.crateandbarrel.com/shinola-parker-tweed-flat-weave-rug/f1004012
125499,Linden Brown Medium Dog Day Bed,,,540.00,https://www.crateandbarrel.com/linden-brown-medium-dog-day-bed/s125499
52909,Multisurface Thin Rug Pad,4.4,32,12.95-149.00,https://www.crateandbarrel.com/multisurface-thin-rug-pad/f52909
343248,"Crimson Dried Cattails Bundle 30""",5,3,9.99,https://www.crateandbarrel.com/crimson-dried-cattails-bundle-30/s343248
1004716,Cortada Wool Patterned Beige Rug,,,799.00-2599.00,https://www.crateandbarrel.com/cortada-wool-patterned-beige-rug/f1004716
419254,Agency Medium Pale Pink Jewelry Box,4.8,5,79.95,https://www.crateandbarrel.com/agency-medium-pale-pink-jewelry-box/s419254
1004594,Mo's Crib Woven Baskets,,,119.00,https://www.crateandbarrel.com/mos-crib-woven-baskets/f1004594
219605,Jimena Natural Ceramic Centerpiece Bowl,,,79.95,https://www.crateandbarrel.com/jimena-natural-ceramic-centerpiece-bowl/s219605
342884,"Faux Norway Spruce Pre-Lit LED Wreath 30""",2.4,7,119.00,https://www.crateandbarrel.com/faux-norway-spruce-pre-lit-led-wreath-30/s342884
112513,Perris Square Corner Shelf,5,1,129.00,https://www.crateandbarrel.com/perris-square-corner-shelf/s112513
1007894,ILLUME ® Winter White Candles and Reed Diffuser,,,24.99-32.00,https://www.crateandbarrel.com/illume-winter-white-candles-and-reed-diffuser/f1007894
515423,Carson Acacia Serving Bowl,4.7,82,49.95,https://www.crateandbarrel.com/carson-acacia-serving-bowl/s515423
338962,"Green Tree Tealights, Set of 4",4.5,359,9.99,https://www.crateandbarrel.com/green-tree-tealights-set-of-4/s338962
58537,London Glass Hurricane Candle Holders,4.9,464,14.95-39.95,https://www.crateandbarrel.com/london-glass-hurricane-candle-holders/f58537
88580,Icon Black Wall Frames,4.8,4,24.95-114.80,https://www.crateandbarrel.com/icon-black-wall-frames/f88580
272444,Murphy Wood Secretary Dresser Desk with Hutch,,,1299.00,https://www.crateandbarrel.com/murphy-wood-secretary-dresser-desk-with-hutch/s272444
211706,Neutral Modern Moment,5,5,999.00,https://www.crateandbarrel.com/neutral-modern-moment/s211706
1004672,Rambler Rush Woven Bed,,,1999.00-2199.00,https://www.crateandbarrel.com/rambler-rush-woven-bed/f1004672
103408,Vertex Closed Bookcase,,,1099.00,https://www.crateandbarrel.com/vertex-closed-bookcase/s103408
195705,Plush 4-Piece Sectional,5,1,6296.00,https://www.crateandbarrel.com/plush-4-piece-sectional/s195705
225536,French Kitchen Round Bistro Table,4.4,32,899.00,https://www.crateandbarrel.com/french-kitchen-round-bistro-table/s225536
661734,Teca Storage Trunk-Bench,4.8,147,699.00,https://www.crateandbarrel.com/teca-storage-trunk-bench/s661734
269741,"Black and Walnut Pool Table with Wall Rack, Accessories and Table Tennis Kit",,,6999.00,https://www.crateandbarrel.com/black-and-walnut-pool-table-with-wall-rack-accessories-and-table-tennis-kit/s269741
221013,Axis 2-Seat Sofa,4.7,1065,1899.00,https://www.crateandbarrel.com/axis-2-seat-sofa/s221013
1005954,Juliet Agave Velvet Quilt and Pillow Shams,,,59.95-299.95,https://www.crateandbarrel.com/juliet-agave-velvet-quilt-and-pillow-shams/f1005954
96941,Organic Cotton Waffle Bath Towels,4.4,115,4.99-49.95,https://www.crateandbarrel.com/organic-cotton-waffle-bath-towels/f96941
1004080,Geo Double Old-Fashioned & Highball Glasses,,,4.99-5.99,https://www.crateandbarrel.com/geo-double-old-fashioned-and-highball-glasses/f1004080
548267,Tempaper Black and Cream Mosaic Scallop Removable Wallpaper,,,98.00,https://www.crateandbarrel.com/tempaper-black-and-cream-mosaic-scallop-removable-wallpaper/s548267
112769,Dune Bleached Wood Wall Art,4.7,14,249.00,https://www.crateandbarrel.com/dune-bleached-wood-wall-art/s112769
322045,Levon Black Carved Wood Wall Mirror by Leanne Ford,5,1,499.00,https://www.crateandbarrel.com/levon-black-carved-wood-wall-mirror-by-leanne-ford/s322045
467140,Faux Holly Berry Stem,4.7,23,12.99,https://www.crateandbarrel.com/faux-holly-berry-stem/s467140
314301,Yamazaki Ply Over-The-Door Hook Rack,,,33.00,https://www.crateandbarrel.com/yamazaki-ply-over-the-door-hook-rack/s314301
302963,Live Double Stem White Orchid in Bryant Planter by The Sill,,,79.95,https://www.crateandbarrel.com/live-double-stem-white-orchid-in-bryant-planter-by-the-sill/s302963
198765,Holden Vase,4.9,150,49.95,https://www.crateandbarrel.com/holden-vase/s198765
341701,Toolo Red Planter,4.6,7,99.95,https://www.crateandbarrel.com/toolo-red-planter/s341701
382323,Red Dahlia & Greenery Arrangement,5,1,39.95,https://www.crateandbarrel.com/red-dahlia-and-greenery-arrangement/s382323
1004560,Pillar Marble Bookends,,,34.99-69.99,https://www.crateandbarrel.com/pillar-marble-bookends/f1004560
580355,Josephine Curved Chair,5,1,999.99,https://www.crateandbarrel.com/josephine-curved-chair/s580355
233103,Russell + Hazel Gold and Acrylic Scissors,5,8,22.00,https://www.crateandbarrel.com/russell-hazel-gold-and-acrylic-scissors/s233103
285210,Dixon Bamboo Hamper with Liner,4.1,167,139.95,https://www.crateandbarrel.com/dixon-bamboo-hamper-with-liner/s285210
97435,Natural Hemp Fiber Duvet Covers and Pillow Shams,4.3,164,49.95-259.95,https://www.crateandbarrel.com/natural-hemp-duvet-covers-and-pillow-shams/f97435
96944,Elmont Slate Stripe Bath Towels,4.7,18,7.95-49.95,https://www.crateandbarrel.com/elmont-slate-stripe-bath-towels/f96944
67063,Classic Lightweight Down Insert,4.5,51,179.95-289.95,https://www.crateandbarrel.com/classic-lightweight-down-insert/f67063
1001427,Mellow Sterling Organic Cotton Duvet Covers and Pillow Shams,,,6.97,https://www.crateandbarrel.com/mellow-sterling-organic-cotton-duvet-covers-and-pillow-shams/f1001427
88244,Organic Cotton Sheet Sets,4.3,270,39.95-169.95,https://www.crateandbarrel.com/washed-organic-cotton-sheet-sets/f88244
1004011,Shinola Woodward Moroccan Shag Checkered Rug,,,699.00-1799.00,https://www.crateandbarrel.com/shinola-woodward-moroccan-shag-checkered-rug/f1004011
119980,Marble Tic-Tac-Toe Game Set,4.9,130,39.95,https://www.crateandbarrel.com/marble-tic-tac-toe-game-set/s119980
655656,Chevron Antique Brass Fireplace Screen,4.4,121,249.00,https://www.crateandbarrel.com/chevron-antique-brass-fireplace-screen/s655656
92400,Piazza Tufted Dog Beds,4.9,52,145.00-180.00,https://www.crateandbarrel.com/piazza-tufted-dog-beds/f92400
339155,Victrola Eastwood Record Player,4.6,28,99.99,https://www.crateandbarrel.com/victrola-eastwood-record-player/s339155
1006549,Handmade German Nutcrackers,,,99.95-329.00,https://www.crateandbarrel.com/handmade-german-nutcrackers/f1006549
343256,"Dried Red Okra & Star Cone Bundle 22""",5,2,19.95,https://www.crateandbarrel.com/dried-red-okra-and-star-cone-bundle-22/s343256
1004727,Rivinias White Shag Abstract Rug,5,1,599.00-1799.00,https://www.crateandbarrel.com/rivinias-white-shag-abstract-rug/f1004727
285560,Selma White Jewelry Box,4.8,62,149.00,https://www.crateandbarrel.com/selma-white-jewelry-box/s285560
561077,Claude Wire Basket,4.9,20,99.95,https://www.crateandbarrel.com/claude-wire-basket/s561077
272277,Flint Grey Marble Bowl,4.7,86,49.95,https://www.crateandbarrel.com/flint-grey-marble-bowl/s272277
342719,"Faux Long Needle White Pine Wreath 32""",1.6,7,59.95,https://www.crateandbarrel.com/faux-long-needle-white-pine-wreath-32/s342719
328864,"Booker Mirror Image Shelf, Set of 4",,,249.00,https://www.crateandbarrel.com/booker-mirror-image-shelf-set-of-4/s328864
375793,NEST New York Holiday Reed Diffuser,4.7,35,50.00,https://www.crateandbarrel.com/nest-new-york-holiday-reed-diffuser/s375793
1000380,Triangle Brass Knob and Bar Pulls,,,8.95-18.95,https://www.crateandbarrel.com/triangle-brass-hardware/f1000380
93527,Champagne Pillar Candles,4.9,29,39.95-49.95,https://www.crateandbarrel.com/champagne-pillar-candles/f93527
14280,Taylor Glass Hurricane Candle Holders,4.9,308,9.95-39.95,https://www.crateandbarrel.com/taylor-glass-hurricane-candle-holders/f14280
335776,"Red Rim Mercer Tree Platter 17.5""",4.3,4,34.95,https://www.crateandbarrel.com/red-rim-mercer-tree-platter-17.5/s335776
76851,Kids Jenny Lind White Spindle Desk and Hutch,5,3,199.00-499.00,https://www.crateandbarrel.com/kids-jenny-lind-white-spindle-desk-and-hutch/f76851
208635,When Winter Begins,5,2,1499.00,https://www.crateandbarrel.com/when-winter-begins/s208635
1002350,Lafayette Mist Upholstered Bed,4,16,1099.00-1499.00,https://www.crateandbarrel.com/lafayette-mist-upholstered-bed/f1002350
328787,Blake Light Brown Teak and Rattan Tall Cabinet,5,5,999.00,https://www.crateandbarrel.com/blake-light-brown-teak-and-rattan-tall-cabinet/s328787
274440,Camille Anthracite Italian Dining Chair,4.1,55,399.00,https://www.crateandbarrel.com/camille-anthracite-italian-dining-chair/s274440
226098,Anaise Cane Storage Bench,4.2,9,999.00,https://www.crateandbarrel.com/anaise-cane-storage-bench/s226098
539245,Gather Deep 2-Piece Left Arm Chaise Sectional,5,5,2998.00,https://www.crateandbarrel.com/gather-deep-2-piece-left-arm-chaise-sectional/s539245
470152,5-Piece Poker Table Set,,,5999.00,https://www.crateandbarrel.com/5-piece-poker-table-set/s470152
537079,Gather Deep Sofa,4.7,247,1799.00,https://www.crateandbarrel.com/gather-deep-sofa/s537079
90369,CB End Cap Finial and Curtain Hardware,3.7,18,24.95-129.00,https://www.crateandbarrel.com/cb-end-cap-finial-and-curtain-hardware/f90369
1005953,Juliet Dove Velvet Quilt and Pillow Shams,,,59.95-299.95,https://www.crateandbarrel.com/juliet-dove-velvet-quilt-and-pillow-shams/f1005953
23183,Acrylic Block Picture Frames,4.9,44,11.95-49.95,https://www.crateandbarrel.com/acrylic-block-picture-frames/f23183
98032,Curtiss Stacking Glasses,4.4,26,5.99-6.99,https://www.crateandbarrel.com/curtiss-stacking-glasses/f98032
548339,Tempaper Natural Burlap Removable Wallpaper,,,125.00,https://www.crateandbarrel.com/tempaper-natural-burlap-removable-wallpaper/s548339
233417,Circuit Pewter Wall Candle Holder,5,3,199.00,https://www.crateandbarrel.com/circuit-pewter-wall-candle-holder/s233417
273222,Aosta Brass Wall Mirror,5,2,299.00,https://www.crateandbarrel.com/aosta-brass-wall-mirror/s273222
354128,"Faux Red Berry Stem 55""",,,34.95,https://www.crateandbarrel.com/faux-red-berry-stem-55/s354128
285515,Yukon Natural Wall Coat Rack,4.6,23,199.00,https://www.crateandbarrel.com/yukon-natural-wall-coat-rack/s285515
302779,Live Panda Plant in Bryant Planter by The Sill,5,1,59.95,https://www.crateandbarrel.com/live-panda-plant-in-bryant-planter-by-the-sill/s302779
527610,Adra Vase,4.9,334,49.95,https://www.crateandbarrel.com/adra-vase/s527610
1004887,Jimena Planters,,,39.95-59.95,https://www.crateandbarrel.com/jimena-planters/f1004887
93675,Faux Potted Cypress Trees,4.7,59,49.99-239.99,https://www.crateandbarrel.com/faux-potted-cypress-trees/f93675
216172,Lockhart Ebonized Wood Tabletop Sculpture,5,1,49.99,https://www.crateandbarrel.com/lockhart-ebonized-wood-tabletop-sculpture/s216172
276730,Verne Chair with Cushions,,,538.99,https://www.crateandbarrel.com/verne-chair-with-cushions/s276730
232987,Russel + Hazel In Due Time Gold Notepad Set,5,6,20.00,https://www.crateandbarrel.com/russel-hazel-in-due-time-gold-notepad-set/s232987
203015,Steele ® 2.5-Bushel Canvas Vertical Laundry Bin,4.6,121,129.95,https://www.crateandbarrel.com/steele-2.5-bushel-canvas-vertical-laundry-bin/s203015
97437,Seaglass Natural Hemp Fiber Duvet Covers and Pillow Shams,4.3,165,19.97-109.97,https://www.crateandbarrel.com/seaglass-hemp-duvet-covers-and-pillow-shams/f97437
89605,Hemi Organic Stripe Bath Towels,4.5,57,4.97-19.99,https://www.crateandbarrel.com/hemi-organic-stripe-bath-towels/f89605
83612,Hypoallergenic Medium Duvet Inserts,4.6,59,159.95-209.95,https://www.crateandbarrel.com/hypoallergenic-medium-duvet-inserts/f83612
1001444,Mellow Sterling Organic Cotton Sheet Set,,,14.99-59.97,https://www.crateandbarrel.com/mellow-sterling-organic-cotton-sheet-set/f1001444
86085,Pure Linen Sheet Sets,4.0,134,49.95-279.95,https://www.crateandbarrel.com/linen-sheet-sets/f86085
1004720,Latanaz Grey Abstract Rug,,,699.00-2599.00,https://www.crateandbarrel.com/latanaz-grey-abstract-rug/f1004720
655504,Corbett Bronze Fireplace Screen,4.9,59,299.00,https://www.crateandbarrel.com/corbett-fireplace-screen/s655504
232644,Shinola Playing Cards,,,15.00,https://www.crateandbarrel.com/shinola-playing-cards/s232644
264708,Nooee Buddy Large Pet Cave,3,2,79.95,https://www.crateandbarrel.com/nooee-buddy-large-pet-cave/s264708
127355,Lexon ® Light Gold Oblio Wireless Charging Station with Built-in UV Sanitizer,,,79.95,https://www.crateandbarrel.com/lexon-light-gold-oblio-wireless-charging-station-with-built-in-uv-sanitizer/s127355
59852,Zinc Reindeer,5.0,49,12.95-16.95,https://www.crateandbarrel.com/zinc-reindeer/f59852
210936,Natural Grass Dried Bouquet,4.7,6,34.95,https://www.crateandbarrel.com/natural-grass-dried-bouquet/s210936
1004717,Bahillo Black and White Geometric Rug,,,799.00-2599.00,https://www.crateandbarrel.com/bahillo-black-and-white-geometric-rug/f1004717
285587,Juliette Jewelry Box,4.8,75,139.00,https://www.crateandbarrel.com/juliette-jewelry-box/s285587
463175,Emlyn Basket,5.0,103,89.95,https://www.crateandbarrel.com/emlyn-basket/s463175
506747,Riki Black Footed Bowl by Leanne Ford,4.9,59,79.95,https://www.crateandbarrel.com/riki-black-footed-bowl-by-leanne-ford/s506747
375761,"Faux Cypress Wreath 26""",4.8,49,99.95,https://www.crateandbarrel.com/faux-cypress-wreath-26/s375761
288701,Booker Double Wide Rectangle Wall Display Shelf,4.7,51,99.95,https://www.crateandbarrel.com/booker-double-wide-rectangle-wall-display-shelf/s288701
375754,NEST New York Holiday Scented Candle,4.9,109,44.00,https://www.crateandbarrel.com/nest-new-york-holiday-scented-candle/s375754
1000370,Round Polished Nickel Knob and Bar Pulls,,,8.95-18.95,https://www.crateandbarrel.com/round-polished-nickel-hardware/f1000370
84563,Emmett Antique Brass Taper Candle Holders,5,6,22.95-83.85,https://www.crateandbarrel.com/emmett-antique-brass-taper-candle-holders/f84563
343537,Snowman Candle,4.5,2,14.99,https://www.crateandbarrel.com/snowman-candle/s343537
212191,White Block,5,2,849.00,https://www.crateandbarrel.com/white-block/s212191
107414,Roselle White Wood Kids Desk with Vanity Mirror,,,598.00,https://www.crateandbarrel.com/roselle-white-wood-kids-desk-with-vanity-mirror/s107414
562183,Fayette Corner Bookcase with Storage,4.8,41,999.00,https://www.crateandbarrel.com/fayette-corner-bookcase-with-storage/s562183
98333,Lotus Tall Bed,,,2399.00-2599.00,https://www.crateandbarrel.com/lotus-tall-bed/f98333
1004292,"Ansom 20"" Golden Brown Pillow",,,39.95-54.95,https://www.crateandbarrel.com/ansom-20-golden-brown-pillow/f1004292
274559,Curran Black Dining Chair,4.4,72,349.00,https://www.crateandbarrel.com/curran-black-dining-chair/s274559
287964,Batten Storage Bench,4.7,23,599.00,https://www.crateandbarrel.com/batten-storage-bench/s287964
488506,Aris Deep 2-Piece Right-Arm Chaise Sectional,,,2698.00,https://www.crateandbarrel.com/aris-deep-2-piece-right-arm-chaise-sectional/s488506
269597,Skee-Ball ® Home Arcade Premium,,,4999.00,https://www.crateandbarrel.com/skee-ball-home-arcade-premium/s269597
650807,Barrett Reversible Sectional,4.6,683,1999.00,https://www.crateandbarrel.com/barrett-lounger/s650807
90367,CB Glass Globe Finial and Curtain Hardware,3.7,18,24.95-139.95,https://www.crateandbarrel.com/cb-glass-globe-finial-and-curtain-hardware/f90367
